Player,avg,gp-gs,ab,r,h,2b,3b,hr,rbi,tb,slg%,bb,hbp,so,gdp,ob%,sf,sh,sb-att
"Christian Hall, AU",0.226,37-25,84,17,19,2,0,7,17,42,0.5,26,1,30,1,0.404,3,0,0-0
"Ryder Helfrick, AR",0.179,31-26,84,18,15,3,0,3,8,27,0.321,14,4,28,2,0.32,1,1,1-1
"William Hamiter, UA",0.289,34-18,83,11,24,6,2,2,19,40,0.482,11,3,20,0,0.384,2,0,0-0
"Sebastian Murillo, UG",0.253,37-24,83,21,21,3,0,2,14,30,0.361,19,2,13,2,0.396,2,1,1-1
"Dillon Carter, UG",0.22,35-28,82,34,18,2,0,7,15,41,0.5,25,7,32,0,0.439,0,2,2-2
"Javon Hernandez, AU",0.171,36-25,82,13,14,2,1,0,5,18,0.22,10,1,12,4,0.266,1,2,8-9
"Reagan Burford, UM",0.21,33-23,81,10,17,6,0,4,14,35,0.432,11,1,27,3,0.305,2,0,0-0
"Robin Villeneuve, UT",0.288,35-24,80,20,23,3,0,5,22,41,0.513,14,9,38,0,0.447,0,0,0-0
"Campbell Smithwick, UM",0.266,30-24,79,13,21,5,0,1,12,29,0.367,21,6,29,0,0.449,1,0,0-0
"Logan Jordan, UG",0.241,32-24,79,10,19,3,0,4,19,34,0.43,21,5,26,3,0.425,1,0,0-0
"Jack Bulger, VU",0.289,30-18,76,8,22,1,0,3,16,32,0.421,7,4,16,0,0.371,2,0,3-3
"Henry Hunter, UG",0.264,30-19,72,20,19,5,0,4,12,36,0.5,13,1,23,1,0.379,1,1,1-1
"Colin Barczi, VU",0.208,29-19,72,11,15,2,0,2,8,23,0.319,7,3,26,1,0.298,2,0,0-0
"Jayson Jones, AR",0.194,23-19,72,11,14,3,0,4,17,29,0.403,8,3,26,1,0.301,0,0,3-3
"Ashton Wilson, UF",0.279,26-15,68,15,19,7,0,2,16,32,0.471,8,7,24,1,0.405,1,0,2-3
"Hayden Yost, UF",0.284,32-14,67,10,19,5,0,0,4,24,0.358,8,5,18,1,0.4,0,1,4-7
"Dylan Cupp, MS",0.258,22-21,66,13,17,4,0,0,13,21,0.318,11,1,14,1,0.367,1,5,4-4
"Ethan Pulliam, MS",0.227,27-20,66,7,15,5,0,1,11,23,0.348,8,0,13,0,0.307,1,0,1-1
"Gavin Miller, AU",0.281,26-15,64,14,18,5,0,3,9,32,0.5,7,1,18,2,0.361,0,0,0-0
"Justin Colon, MO",0.25,20-19,64,11,16,1,0,2,14,23,0.359,14,0,15,1,0.385,0,1,3-3
"Ryan Targac, AM",0.213,26-17,61,11,13,5,0,1,13,21,0.344,9,0,24,1,0.306,2,0,1-1
"Patrick Herrera, UK",0.288,28-19,59,15,17,4,1,0,16,23,0.39,15,10,21,0,0.494,1,4,1-3
"Tanner Garrison, UF",0.246,20-19,57,9,14,3,0,1,6,20,0.351,4,6,9,1,0.348,2,2,0-0
"Ethan Frey, LS",0.228,34-9,57,6,13,3,0,0,10,16,0.281,6,0,16,0,0.292,2,0,1-1
"Mason Swinney, UA",0.232,29-15,56,12,13,3,0,0,6,16,0.286,16,2,22,0,0.408,2,1,0-1
"Eric Guevara, AU",0.204,21-16,54,7,11,2,0,2,11,19,0.352,8,4,18,2,0.343,1,0,0-0
"Jack Wagner, AR",0.26,19-14,50,10,13,3,0,3,11,25,0.5,6,2,12,1,0.344,3,0,1-1
"Jaylen Guy, UF",0.143,38-19,49,7,7,1,0,0,2,8,0.163,9,6,10,0,0.338,1,0,2-3
"Jacob Humphrey, VU",0.227,40-10,44,16,10,2,1,2,9,20,0.455,8,0,15,0,0.346,0,3,12-13
"Trenton Lyons, UM",0.256,22-7,39,3,10,1,0,0,3,11,0.282,4,0,16,1,0.326,0,0,1-1
"Blake Binderup, AM",0.231,19-10,39,6,9,0,1,1,7,14,0.359,9,0,17,1,0.367,1,0,0-0
"Max Grant, UA",0.25,20-12,36,8,9,0,0,3,8,18,0.5,1,0,10,0,0.27,0,3,0-0
"Hank Bard, AM",0.222,20-8,36,6,8,1,0,1,9,12,0.333,7,0,8,3,0.349,0,0,0-0
"Armando Albert, UF",0.194,23-8,36,6,7,1,0,0,4,8,0.222,10,5,11,1,0.431,0,0,3-4
"Nate Chester, MS",0.206,28-8,34,7,7,2,0,0,3,9,0.265,10,0,7,1,0.386,0,1,0-0
"Cale Stricklin, AU",0.273,14-13,33,8,9,1,0,0,5,10,0.303,8,3,5,0,0.455,0,0,0-0
"Reuben Church, UK",0.182,21-9,33,6,6,3,0,0,5,9,0.273,4,6,14,0,0.372,0,0,0-0
"Bo Gatlin, UM",0.219,23-8,32,3,7,1,0,1,7,11,0.344,4,5,12,0,0.372,2,0,1-1
"Colby Backus, UT",0.387,28-5,31,16,12,3,0,5,12,30,0.968,6,1,13,0,0.5,0,0,2-2
"Parker Rowland, AR",0.241,16-11,29,5,7,2,0,1,4,12,0.414,9,0,7,1,0.41,1,3,1-1
"Bradke Lohry, UT",0.241,27-6,29,14,7,3,0,0,8,10,0.345,10,2,14,0,0.452,1,0,0-0
"Logan Poteet, VU",0.207,11-8,29,5,6,0,0,3,10,15,0.517,1,0,10,0,0.226,1,0,0-0
"Kameron Guangorena, UA",0.214,13-8,28,5,6,2,0,0,5,8,0.286,4,0,4,1,0.294,2,0,0-0
"Juju Stevens, MO",0.259,12-7,27,2,7,3,0,0,3,10,0.37,3,3,9,0,0.394,0,0,1-1
"Ty Crittenberger, UK",0.222,23-7,27,8,6,1,0,2,3,13,0.481,4,0,11,0,0.323,0,2,7-7
"Nolan Stevens, MS",0.269,17-6,26,2,7,1,0,1,2,11,0.423,1,1,8,1,0.321,0,0,0-0
"Trey King, UG",0.231,17-6,26,10,6,1,0,0,1,7,0.269,2,1,5,1,0.31,0,2,0-0
"Landon Russell, UF",0.115,12-7,26,0,3,1,1,0,2,6,0.231,2,0,9,1,0.172,1,0,0-0
"Kaleb Freeman, AU",0.2,14-6,25,4,5,2,0,1,8,10,0.4,3,1,9,0,0.3,1,0,1-1
"Ariel Antigua, UT",0.217,40-6,23,4,5,2,0,0,4,7,0.304,2,0,9,1,0.28,0,0,0-0
"Charlie Taylor, UT",0.13,20-4,23,6,3,0,0,1,6,6,0.261,3,1,7,1,0.259,0,0,0-0
"Lee Ellis, SC",0.273,17-6,22,8,6,2,0,0,0,8,0.364,7,1,12,0,0.467,0,0,1-2
"Lukas Schramm, UK",0.238,9-6,21,5,5,1,1,1,5,11,0.524,2,0,10,1,0.304,0,1,1-1
"Coleman Mizell, UA",0.19,11-5,21,5,4,1,0,1,3,8,0.381,4,0,6,0,0.32,0,0,0-0
"Griffin Cameron, UK",0.19,9-8,21,5,4,0,0,0,4,4,0.19,6,1,8,0,0.379,1,1,2-2
"Kyuss Gargett, UK",0.143,12-5,21,5,3,1,1,1,1,9,0.429,2,0,6,1,0.217,0,2,0-0
"Hudson Polk, AR",0.143,9-5,21,4,3,0,0,1,5,6,0.286,4,0,9,1,0.269,1,0,0-0
"Max Kaufer, AM",0.25,14-7,20,5,5,2,0,1,5,10,0.5,8,3,5,0,0.516,0,1,0-0
"John Marant, UG",0.2,11-7,20,7,4,2,0,0,0,6,0.3,6,2,9,0,0.429,0,0,0-0
"Ryan Bakes, SC",0.211,12-6,19,3,4,2,0,0,5,6,0.316,5,0,6,0,0.375,0,0,0-0
"Josh Stinson, UG",0.105,26-4,19,6,2,0,0,0,1,2,0.105,1,2,7,1,0.227,0,0,2-2
"Ethan Payne, UT",0.278,22-2,18,7,5,0,0,0,2,5,0.278,4,1,5,0,0.435,0,1,0-0
"Austin Fawley, UK",0.222,10-4,18,3,4,1,0,2,5,11,0.611,1,0,7,1,0.263,0,1,0-0
"Isaiah Frost, MO",0.313,7-4,16,5,5,1,0,1,4,9,0.563,4,0,8,0,0.45,0,1,0-0
