Player,era,w-l,app-gs,cg,sho,sv,ip,h,r,er,bb,so,2b,3b,hr,ab,b/avg,wp,hbp,bk
"Logan Forsythe, MS",10.12,0-1,6-0,0,0/1,0,5.1,4,6,6,3,11,0,0,2,20,0.2,0,1,0
"Cameron Keshock, AU",10.12,0-0,5-0,0,0/0,0,5.1,8,8,6,3,7,3,0,0,23,0.348,3,2,0
"Luke Wiltrakis, UG",1.93,0-1,5-0,0,0/1,0,4.2,4,1,1,3,9,2,0,0,17,0.235,0,1,0
"Nic Bronzini, LS",5.79,0-0,6-0,0,0/1,0,4.2,5,3,3,4,8,1,0,0,19,0.263,1,1,0
"Cole Tolbert, UM",7.71,0-1,6-0,0,0/0,0,4.2,7,7,4,4,5,2,0,1,23,0.304,1,4,0
"Eldridge Armstrong, AM",7.71,0-0,4-0,0,0/2,0,4.2,6,4,4,2,7,0,0,1,20,0.3,0,0,0
"Brett Antolick, AM",9.64,0-0,4-1,0,0/1,0,4.2,9,6,5,2,1,0,0,1,22,0.409,0,0,0
"Zach Hise, UK",12.46,0-0,6-0,0,0/1,0,4.1,4,7,6,3,3,0,0,0,17,0.235,1,4,0
"James Mccoy, UK",0,0-0,6-0,0,0/1,1,4,4,1,0,1,4,2,0,0,16,0.25,0,1,0
"Coleman Willis, UG",0,0-0,6-0,0,0/0,0,4,1,0,0,4,5,0,0,0,11,0.091,1,1,1
"Patrick Galle, UM",6.75,0-0,6-0,0,0/0,0,4,5,4,3,4,6,0,0,0,16,0.313,0,0,0
"Dj Primeaux, LS",2.45,0-0,9-0,0,0/1,0,3.2,5,1,1,2,3,0,0,0,15,0.333,0,1,0
"Luke Payne, UT",4.91,0-0,4-0,0,0/0,0,3.2,2,2,2,3,9,1,0,1,12,0.167,3,0,0
"Sam Simpson, SC",12.27,0-0,3-0,0,0/0,0,3.2,4,5,5,4,4,0,0,2,15,0.267,1,1,0
"Matthew Hoskins, UG",19.64,0-0,5-2,0,0/0,0,3.2,4,8,8,7,4,0,0,1,13,0.308,1,2,0
"Brady Robertson, UT",2.7,0-0,5-0,0,0/0,0,3.1,2,2,1,1,4,0,0,0,11,0.182,0,1,0
"Hayden Smith, UK",5.4,0-0,4-0,0,0/2,0,3.1,4,4,2,2,0,1,0,0,14,0.286,0,0,0
"Riley Quick, UA",0,1-0,1-1,0,0/1,0,3,0,0,0,1,5,0,0,0,8,0,0,1,0
"Brayden Sharp, UT",0,0-0,3-0,0,0/1,0,3,2,1,0,0,2,1,0,0,11,0.182,0,0,0
"Ben Smith, MO",6,0-0,2-0,0,0/0,0,3,2,2,2,2,3,0,0,1,11,0.182,0,1,0
"Landon Russell, UF",9,0-0,4-0,0,0/0,0,3,5,3,3,1,4,1,0,2,14,0.357,0,0,0
"James Hays, UG",21,0-0,2-0,0,0/0,0,3,10,7,7,1,3,2,1,1,16,0.625,1,0,0
"Ethan Sutton, UG",3.38,0-1,3-0,0,0/0,0,2.2,2,4,1,2,2,0,0,0,10,0.2,1,0,0
